,bleu,rouge,meteor,nist,chrf,bertscore_r,bertscore_P,bertscore_f,moverscore,bleurt,prism_r,prism_P,prism_f,bartscore_r,bartscore_P,bartscore_f,frugalscore
20,0.668740304976422,0.888888888888889,0.4878048780487805,1.6,0.9861531660154297,0.9826712012290955,0.9687493443489075,0.9756605625152588,0.7283478494403133,-0.219650000333786,-2.0985658168792725,-1.7622267007827759,-1.930396318435669,-2.181748390197754,-2.321455717086792,-2.251602053642273,0.9355
21,0.668740304976422,0.888888888888889,0.4878048780487805,1.6,0.9816229014670927,0.9820448160171509,0.9681377410888672,0.9750416874885559,0.704283065879033,-0.3170033097267151,-2.0239765644073486,-2.3575217723846436,-2.190749168395996,-1.858926773071289,-2.788769006729126,-2.3238478899002075,0.9224
22,0.6606328636027614,0.9411764705882353,0.9799382716049383,2.6666666666666665,0.9143829734284346,0.9941340684890747,0.9806578159332275,0.9873499870300293,0.8096744544017836,0.2838202714920044,-1.3706330060958862,-1.7008424997329712,-1.5357377529144287,-1.204474925994873,-1.7251091003417969,-1.464792013168335,0.9443
23,0.6606328636027614,0.9411764705882353,0.9866898148148149,2.6666666666666665,0.9116870209895382,0.9933971762657166,0.9793087840080261,0.9863026738166809,0.8071798629344026,0.6049959659576416,-1.3495848178863525,-1.7055453062057495,-1.5275650024414062,-1.0771582126617432,-1.7407654523849487,-1.408961832523346,0.939
24,0.8633400213704505,0.9411764705882353,0.9799382716049383,2.6666666666666665,0.9911014997822002,0.9880688190460205,0.9786890745162964,0.9833565950393677,0.7852493621454643,0.4781251549720764,-1.2971400022506714,-1.3599298000335693,-1.3285348415374756,-1.5390368700027466,-2.039116621017456,-1.7890767455101013,0.942
25,0.8801117367933934,0.9473684210526316,0.9835843169176502,2.8529325012980813,0.989697337511131,0.9889034032821655,0.9796949625015259,0.984277606010437,0.8124513606835662,-0.19477081298828125,-1.4585179090499878,-1.3564293384552002,-1.4074735641479492,-1.3087791204452515,-1.7605412006378174,-1.5346601605415344,0.94
26,0.5706745777055999,0.8571428571428571,0.764691418736169,1.9090909090909092,0.9150194882890427,0.9905025959014893,0.9540728330612183,0.9719464778900146,0.7175692759202437,-0.21058718860149384,-0.7091975808143616,-1.3187518119812012,-1.013974666595459,-0.5463395118713379,-1.5010606050491333,-1.0237000584602356,0.798
27,0.5706745777055999,0.8571428571428571,0.764691418736169,1.9090909090909092,0.923589672118941,0.9922899007797241,0.9627104997634888,0.9772764444351196,0.7186295456942137,-0.11938868463039398,-0.639609694480896,-1.4084423780441284,-1.0240260362625122,-0.5338050127029419,-1.4181448221206665,-0.9759749174118042,0.835
28,0.7177659214467677,0.7826086956521738,0.6914617698931425,2.841001848468879,0.6866603079598015,0.9429001212120056,0.9545661807060242,0.9486973285675049,0.6876681952996084,-0.9268304109573364,-2.558854103088379,-1.7857656478881836,-2.1723098754882812,-2.5853664875030518,-1.660861611366272,-2.123114049434662,0.848
29,0.7177659214467677,0.7826086956521738,0.7231040564373898,2.841001848468879,0.6878345985861198,0.9505678415298462,0.9608827829360962,0.9556974768638611,0.7033892905205494,-0.5655919313430786,-2.1799416542053223,-1.7347557544708252,-1.9573487043380737,-2.556633472442627,-1.5223805904388428,-2.039507031440735,0.837
30,0.8394327083733336,0.972972972972973,0.9933426414941622,3.8603815722919887,0.9514958969543467,0.994579017162323,0.9869282245635986,0.9907388091087341,0.8749254589092469,0.38199901580810547,-0.5804036855697632,-0.8169093132019043,-0.6986564993858337,-0.6740889549255371,-0.9371068477630615,-0.8055979013442993,0.9897
31,0.8394327083733336,0.972972972972973,0.9876768044679173,3.8603815722919887,0.9466664085638632,0.9931899905204773,0.9858618974685669,0.9895123839378357,0.8630601567413382,0.36341702938079834,-0.5709456205368042,-0.7877343893051147,-0.6793400049209595,-0.610036313533783,-0.8643675446510315,-0.7372019290924072,0.992
32,0.7598356856515925,0.9090909090909091,0.9490196078431373,1.9349400790728017,0.9867675550055789,0.9879136085510254,0.973676323890686,0.9807432889938354,0.7484615055747946,-0.2530784010887146,-2.480881690979004,-2.084364414215088,-2.282623052597046,-1.9715540409088135,-1.95195472240448,-1.9617543816566467,0.9346
33,0.7598356856515925,0.9090909090909091,0.9490196078431373,1.9349400790728017,0.9824346556679209,0.9882344007492065,0.974021315574646,0.9810763597488403,0.7357437022423438,-0.41006654500961304,-2.482842206954956,-2.0264363288879395,-2.254639148712158,-1.9435714483261108,-2.554288148880005,-2.248929798603058,0.916
34,0.5321997734504007,0.7586206896551724,0.667737011107017,2.8220504228617136,0.633856503283119,0.9421130418777466,0.9635631442070007,0.9527174234390259,0.7295110473982525,0.3145528733730316,-1.62550687789917,-0.8944998979568481,-1.2600033283233643,-2.4892783164978027,-1.013193130493164,-1.7512357234954834,0.8354
35,0.5321997734504007,0.7586206896551724,0.667737011107017,2.8220504228617136,0.6363403582259904,0.9393362998962402,0.9591262936592102,0.9491282105445862,0.7253021563866018,0.3285643458366394,-1.9710850715637207,-1.14802086353302,-1.5595529079437256,-2.7119300365448,-1.4120140075683594,-2.0619720220565796,0.8477
36,0.26763071425949514,0.6666666666666667,0.5077551020408162,1.1985265509331526,0.4308513471971423,0.9151244163513184,0.9596937894821167,0.9368793368339539,0.6270205437327708,-0.8164839148521423,-2.847935676574707,-2.4003937244415283,-2.624164581298828,-2.8540611267089844,-1.536784291267395,-2.1954227089881897,0.7617
37,0.26763071425949514,0.6666666666666667,0.5077551020408162,1.1985265509331526,0.4422324435700136,0.9344193935394287,0.9706912636756897,0.9522100687026978,0.6554210115777896,-0.18415367603302002,-2.6667842864990234,-1.3786242008209229,-2.0227041244506836,-2.4491188526153564,-1.2838850021362305,-1.8665019273757935,0.7573
38,0.6997522298221912,0.896551724137931,0.9139100932994064,3.171805472692364,0.9355746302448101,0.9804823994636536,0.9739429354667664,0.9772017002105713,0.7734535504662142,0.5305539965629578,-0.7929580211639404,-1.0536744594573975,-0.923316240310669,-0.9108860492706299,-1.076561450958252,-0.9937237501144409,0.9443
39,0.7825422900366437,0.9655172413793104,0.9921405664212475,3.4361225954167276,0.9374836468137496,0.9881677031517029,0.9786403179168701,0.983380913734436,0.7817199092058026,0.33695852756500244,-0.8027527332305908,-0.8591852784156799,-0.830968976020813,-1.0322767496109009,-1.056422472000122,-1.0443496108055115,0.9717
